    [17002499] = {['id']=17002499, ['name']="PercipientFish", ['index']=3, ['level']=81},
    [17002498] = {['id']=17002498, ['name']="PercipientFish", ['index']=2, ['level']=81},
    [17002506] = {['id']=17002506, ['name']="CursedChest", ['index']=10, ['level']=75},
    [17002516] = {['id']=17002516, ['name']="CursedChest", ['index']=20, ['level']=73},
    [17002655] = {['id']=17002655, ['name']="RuneofRelease", ['index']=159, ['level']=0},
    [17002500] = {['id']=17002500, ['name']="PercipientFish", ['index']=4, ['level']=82},
    [17002517] = {['id']=17002517, ['name']="LamiaNo.13", ['index']=21, ['level']=80},
    [17002518] = {['id']=17002518, ['name']="FallenVoluntee", ['index']=22, ['level']=72},
    [17002520] = {['id']=17002520, ['name']="FallenImperial", ['index']=24, ['level']=73},
    [17002519] = {['id']=17002519, ['name']="FallenImperial", ['index']=23, ['level']=72},
    [17002655] = {['id']=17002655, ['name']="RuneofRelease", ['index']=159, ['level']=0},
    [17002522] = {['id']=17002522, ['name']="CarrionLeech", ['index']=26, ['level']=75},
    [17002521] = {['id']=17002521, ['name']="CarrionCrab", ['index']=25, ['level']=77},
    [17002534] = {['id']=17002534, ['name']="CarrionLeech", ['index']=38, ['level']=76},
    [17002533] = {['id']=17002533, ['name']="CarrionLeech", ['index']=37, ['level']=77},
    [17002532] = {['id']=17002532, ['name']="CarrionCrab", ['index']=36, ['level']=76},
    [17002535] = {['id']=17002535, ['name']="CarrionLeech", ['index']=39, ['level']=77},
    [17002536] = {['id']=17002536, ['name']="CarrionLeech", ['index']=40, ['level']=74},
    [17002537] = {['id']=17002537, ['name']="CarrionLeech", ['index']=41, ['level']=77},
    [17002538] = {['id']=17002538, ['name']="CarrionLeech", ['index']=42, ['level']=77},
    [17002539] = {['id']=17002539, ['name']="CarrionToad", ['index']=43, ['level']=77},
    [17002540] = {['id']=17002540, ['name']="CarrionToad", ['index']=44, ['level']=77},
    [17002528] = {['id']=17002528, ['name']="CarrionCrab", ['index']=32, ['level']=75},
    [17002526] = {['id']=17002526, ['name']="CarrionCrab", ['index']=30, ['level']=75},
    [17002527] = {['id']=17002527, ['name']="CarrionCrab", ['index']=31, ['level']=77},
    [17002524] = {['id']=17002524, ['name']="CarrionCrab", ['index']=28, ['level']=76},
    [17002530] = {['id']=17002530, ['name']="CarrionSlime", ['index']=34, ['level']=77},
    [17002541] = {['id']=17002541, ['name']="UndeadCrab", ['index']=45, ['level']=78},
    [17002523] = {['id']=17002523, ['name']="CarrionCrab", ['index']=27, ['level']=75},
    [17002525] = {['id']=17002525, ['name']="CarrionLeech", ['index']=29, ['level']=77},
    [17002522] = {['id']=17002522, ['name']="CarrionLeech", ['index']=26, ['level']=75},
    [17002534] = {['id']=17002534, ['name']="CarrionLeech", ['index']=38, ['level']=76},
    [17002533] = {['id']=17002533, ['name']="CarrionLeech", ['index']=37, ['level']=74},
    [17002532] = {['id']=17002532, ['name']="CarrionCrab", ['index']=36, ['level']=76},
    [17002536] = {['id']=17002536, ['name']="CarrionLeech", ['index']=40, ['level']=74},
    [17002535] = {['id']=17002535, ['name']="CarrionLeech", ['index']=39, ['level']=77},
    [17002537] = {['id']=17002537, ['name']="CarrionLeech", ['index']=41, ['level']=76},
    [17002538] = {['id']=17002538, ['name']="CarrionLeech", ['index']=42, ['level']=76},
    [17002539] = {['id']=17002539, ['name']="CarrionToad", ['index']=43, ['level']=77},
    [17002540] = {['id']=17002540, ['name']="CarrionToad", ['index']=44, ['level']=77},
    [17002544] = {['id']=17002544, ['name']="UndeadToad", ['index']=48, ['level']=78},
    [17002528] = {['id']=17002528, ['name']="CarrionCrab", ['index']=32, ['level']=76},
    [17002521] = {['id']=17002521, ['name']="CarrionCrab", ['index']=25, ['level']=75},
    [17002526] = {['id']=17002526, ['name']="CarrionCrab", ['index']=30, ['level']=76},
    [17002527] = {['id']=17002527, ['name']="CarrionCrab", ['index']=31, ['level']=75},
    [17002525] = {['id']=17002525, ['name']="CarrionLeech", ['index']=29, ['level']=74},
    [17002530] = {['id']=17002530, ['name']="CarrionSlime", ['index']=34, ['level']=77},
    [17002531] = {['id']=17002531, ['name']="CarrionSlime", ['index']=35, ['level']=77},
    [17002529] = {['id']=17002529, ['name']="CarrionSlime", ['index']=33, ['level']=76},
    [17002523] = {['id']=17002523, ['name']="CarrionCrab", ['index']=27, ['level']=76},
    [17002524] = {['id']=17002524, ['name']="CarrionCrab", ['index']=28, ['level']=76},
    [17002521] = {['id']=17002521, ['name']="CarrionCrab", ['index']=25, ['level']=77},
    [17002532] = {['id']=17002532, ['name']="CarrionCrab", ['index']=36, ['level']=74},
    [17002533] = {['id']=17002533, ['name']="CarrionLeech", ['index']=37, ['level']=76},
    [17002534] = {['id']=17002534, ['name']="CarrionLeech", ['index']=38, ['level']=76},
    [17002535] = {['id']=17002535, ['name']="CarrionLeech", ['index']=39, ['level']=74},
    [17002536] = {['id']=17002536, ['name']="CarrionLeech", ['index']=40, ['level']=75},
    [17002542] = {['id']=17002542, ['name']="UndeadLeech", ['index']=46, ['level']=78},
    [17002537] = {['id']=17002537, ['name']="CarrionLeech", ['index']=41, ['level']=75},
    [17002539] = {['id']=17002539, ['name']="CarrionToad", ['index']=43, ['level']=76},
    [17002538] = {['id']=17002538, ['name']="CarrionLeech", ['index']=42, ['level']=74},
    [17002540] = {['id']=17002540, ['name']="CarrionToad", ['index']=44, ['level']=77},
    [17002528] = {['id']=17002528, ['name']="CarrionCrab", ['index']=32, ['level']=74},
    [17002526] = {['id']=17002526, ['name']="CarrionCrab", ['index']=30, ['level']=75},
    [17002527] = {['id']=17002527, ['name']="CarrionCrab", ['index']=31, ['level']=75},
    [17002530] = {['id']=17002530, ['name']="CarrionSlime", ['index']=34, ['level']=75},
    [17002529] = {['id']=17002529, ['name']="CarrionSlime", ['index']=33, ['level']=76},
    [17002531] = {['id']=17002531, ['name']="CarrionSlime", ['index']=35, ['level']=75},
    [17002523] = {['id']=17002523, ['name']="CarrionCrab", ['index']=27, ['level']=75},
    [17002525] = {['id']=17002525, ['name']="CarrionLeech", ['index']=29, ['level']=76},
    [17002524] = {['id']=17002524, ['name']="CarrionCrab", ['index']=28, ['level']=74},
    [17002522] = {['id']=17002522, ['name']="CarrionLeech", ['index']=26, ['level']=74},
    [17002522] = {['id']=17002522, ['name']="CarrionLeech", ['index']=26, ['level']=75},
    [17002527] = {['id']=17002527, ['name']="CarrionCrab", ['index']=31, ['level']=75},
    [17002528] = {['id']=17002528, ['name']="CarrionCrab", ['index']=32, ['level']=77},
    [17002526] = {['id']=17002526, ['name']="CarrionCrab", ['index']=30, ['level']=76},
    [17002523] = {['id']=17002523, ['name']="CarrionCrab", ['index']=27, ['level']=76},
